[035500/100000]	Cells: 314  Coverage: 0.11978149%		Max Fitness: 0.07648176	Mean Fitness: 0.06597295	Min Fitness: 0.05832700	QD Score: 20.71550560
[036000/100000]	Cells: 318  Coverage: 0.12130737%		Max Fitness: 0.07648176	Mean Fitness: 0.06595784	Min Fitness: 0.05832700	QD Score: 20.97459312
[036500/100000]	Cells: 321  Coverage: 0.12245178%		Max Fitness: 0.07648176	Mean Fitness: 0.06597295	Min Fitness: 0.05832700	QD Score: 21.17731585
[037000/100000]	Cells: 324  Coverage: 0.12359619%		Max Fitness: 0.07648176	Mean Fitness: 0.06594901	Min Fitness: 0.05832700	QD Score: 21.36747904
[037500/100000]	Cells: 327  Coverage: 0.12474060%		Max Fitness: 0.07648176	Mean Fitness: 0.06598500	Min Fitness: 0.05832700	QD Score: 21.57709530
[038000/100000]	Cells: 329  Coverage: 0.12550354%		Max Fitness: 0.07648176	Mean Fitness: 0.06596450	Min Fitness: 0.05719664	QD Score: 21.70232024
[038500/100000]	Cells: 332  Coverage: 0.12664795%		Max Fitness: 0.07648176	Mean Fitness: 0.06595080	Min Fitness: 0.05719664	QD Score: 21.89566688
[039000/100000]	Cells: 337  Coverage: 0.12855530%		Max Fitness: 0.07648176	Mean Fitness: 0.06595214	Min Fitness: 0.05719664	QD Score: 22.22587246
[039500/100000]	Cells: 340  Coverage: 0.12969971%		Max Fitness: 0.07648176	Mean Fitness: 0.06598623	Min Fitness: 0.05719664	QD Score: 22.43531730
[040000/100000]	Cells: 344  Coverage: 0.13122559%		Max Fitness: 0.07648176	Mean Fitness: 0.06598233	Min Fitness: 0.05719664	QD Score: 22.69792242
[040500/100000]	Cells: 348  Coverage: 0.13275146%		Max Fitness: 0.07648176	Mean Fitness: 0.06597963	Min Fitness: 0.05719664	QD Score: 22.96091120
[041000/100000]	Cells: 350  Coverage: 0.13351440%		Max Fitness: 0.07648176	Mean Fitness: 0.06600639	Min Fitness: 0.05719664	QD Score: 23.10223598
[041500/100000]	Cells: 353  Coverage: 0.13465881%		Max Fitness: 0.07648176	Mean Fitness: 0.06597667	Min Fitness: 0.05719664	QD Score: 23.28976573
[042000/100000]	Cells: 353  Coverage: 0.13465881%		Max Fitness: 0.07648176	Mean Fitness: 0.06600040	Min Fitness: 0.05719664	QD Score: 23.29814138
[042500/100000]	Cells: 353  Coverage: 0.13465881%		Max Fitness: 0.07648176	Mean Fitness: 0.06601843	Min Fitness: 0.05719664	QD Score: 23.30450623
[043000/100000]	Cells: 357  Coverage: 0.13618469%		Max Fitness: 0.07648176	Mean Fitness: 0.06598840	Min Fitness: 0.05719664	QD Score: 23.55785751
[043500/100000]	Cells: 360  Coverage: 0.13732910%		Max Fitness: 0.07648176	Mean Fitness: 0.06600586	Min Fitness: 0.05719664	QD Score: 23.76210842
[044000/100000]	Cells: 365  Coverage: 0.13923645%		Max Fitness: 0.07648176	Mean Fitness: 0.06597085	Min Fitness: 0.05719664	QD Score: 24.07936022
[044500/100000]	Cells: 369  Coverage: 0.14076233%		Max Fitness: 0.07648176	Mean Fitness: 0.06594715	Min Fitness: 0.05719664	QD Score: 24.33449658
[045000/100000]	Cells: 371  Coverage: 0.14152527%		Max Fitness: 0.07648176	Mean Fitness: 0.06593364	Min Fitness: 0.05719664	QD Score: 24.46137881
[045500/100000]	Cells: 372  Coverage: 0.14190674%		Max Fitness: 0.07648176	Mean Fitness: 0.06594351	Min Fitness: 0.05719664	QD Score: 24.53098743
[046000/100000]	Cells: 376  Coverage: 0.14343262%		Max Fitness: 0.07648176	Mean Fitness: 0.06593277	Min Fitness: 0.05719664	QD Score: 24.79072021
[046500/100000]	Cells: 381  Coverage: 0.14533997%		Max Fitness: 0.07648176	Mean Fitness: 0.06591832	Min Fitness: 0.05719664	QD Score: 25.11487907
[047000/100000]	Cells: 382  Coverage: 0.14572144%		Max Fitness: 0.07648176	Mean Fitness: 0.06594721	Min Fitness: 0.05719664	QD Score: 25.19183410
