[046500/100000]	Cells: 384  Coverage: 0.14648438%		Max Fitness: 0.07660511	Mean Fitness: 0.06429680	Min Fitness: 0.05223801	QD Score: 24.68997077
[047000/100000]	Cells: 386  Coverage: 0.14724731%		Max Fitness: 0.07660511	Mean Fitness: 0.06428503	Min Fitness: 0.05223801	QD Score: 24.81402134
[047500/100000]	Cells: 387  Coverage: 0.14762878%		Max Fitness: 0.07660511	Mean Fitness: 0.06427019	Min Fitness: 0.05223801	QD Score: 24.87256407
[048000/100000]	Cells: 390  Coverage: 0.14877319%		Max Fitness: 0.07660511	Mean Fitness: 0.06425376	Min Fitness: 0.05223801	QD Score: 25.05896520
[048500/100000]	Cells: 393  Coverage: 0.14991760%		Max Fitness: 0.07660511	Mean Fitness: 0.06419745	Min Fitness: 0.05223801	QD Score: 25.22959858
[049000/100000]	Cells: 394  Coverage: 0.15029907%		Max Fitness: 0.07660511	Mean Fitness: 0.06419048	Min Fitness: 0.05223801	QD Score: 25.29105036
[049500/100000]	Cells: 397  Coverage: 0.15144348%		Max Fitness: 0.07660511	Mean Fitness: 0.06419525	Min Fitness: 0.05223801	QD Score: 25.48551460
[050000/100000]	Cells: 399  Coverage: 0.15220642%		Max Fitness: 0.07660511	Mean Fitness: 0.06417709	Min Fitness: 0.05223801	QD Score: 25.60666081
[050500/100000]	Cells: 402  Coverage: 0.15335083%		Max Fitness: 0.07660511	Mean Fitness: 0.06414426	Min Fitness: 0.05223801	QD Score: 25.78599130
[051000/100000]	Cells: 405  Coverage: 0.15449524%		Max Fitness: 0.07660511	Mean Fitness: 0.06410784	Min Fitness: 0.05223801	QD Score: 25.96367413
[051500/100000]	Cells: 407  Coverage: 0.15525818%		Max Fitness: 0.07660511	Mean Fitness: 0.06407780	Min Fitness: 0.05223801	QD Score: 26.07966542
[052000/100000]	Cells: 409  Coverage: 0.15602112%		Max Fitness: 0.07660511	Mean Fitness: 0.06406094	Min Fitness: 0.05223801	QD Score: 26.20092543
[052500/100000]	Cells: 409  Coverage: 0.15602112%		Max Fitness: 0.07660511	Mean Fitness: 0.06406797	Min Fitness: 0.05223801	QD Score: 26.20379994
[053000/100000]	Cells: 416  Coverage: 0.15869141%		Max Fitness: 0.07660511	Mean Fitness: 0.06403257	Min Fitness: 0.05223801	QD Score: 26.63754709
[053500/100000]	Cells: 419  Coverage: 0.15983582%		Max Fitness: 0.07660511	Mean Fitness: 0.06400459	Min Fitness: 0.05223801	QD Score: 26.81792362
[054000/100000]	Cells: 425  Coverage: 0.16212463%		Max Fitness: 0.07660511	Mean Fitness: 0.06403685	Min Fitness: 0.05223801	QD Score: 27.21566026
