[032500/100000]	Cells: 268  Coverage: 0.10223389%		Max Fitness: 0.09302088	Mean Fitness: 0.07264961	Min Fitness: 0.06033642	QD Score: 19.47009441
[033000/100000]	Cells: 273  Coverage: 0.10414124%		Max Fitness: 0.09302088	Mean Fitness: 0.07251572	Min Fitness: 0.06033642	QD Score: 19.79679257
[033500/100000]	Cells: 276  Coverage: 0.10528564%		Max Fitness: 0.09302088	Mean Fitness: 0.07254501	Min Fitness: 0.06033642	QD Score: 20.02242376
[034000/100000]	Cells: 281  Coverage: 0.10719299%		Max Fitness: 0.09302088	Mean Fitness: 0.07253487	Min Fitness: 0.06033642	QD Score: 20.38229893
[034500/100000]	Cells: 283  Coverage: 0.10795593%		Max Fitness: 0.09302088	Mean Fitness: 0.07251065	Min Fitness: 0.06033642	QD Score: 20.52051362
[035000/100000]	Cells: 286  Coverage: 0.10910034%		Max Fitness: 0.09302088	Mean Fitness: 0.07249332	Min Fitness: 0.06033642	QD Score: 20.73308861
[035500/100000]	Cells: 288  Coverage: 0.10986328%		Max Fitness: 0.09302088	Mean Fitness: 0.07252053	Min Fitness: 0.06033642	QD Score: 20.88591402
[036000/100000]	Cells: 290  Coverage: 0.11062622%		Max Fitness: 0.09302088	Mean Fitness: 0.07244954	Min Fitness: 0.06033642	QD Score: 21.01036581
[036500/100000]	Cells: 293  Coverage: 0.11177063%		Max Fitness: 0.09302088	Mean Fitness: 0.07241654	Min Fitness: 0.06024214	QD Score: 21.21804550
[037000/100000]	Cells: 295  Coverage: 0.11253357%		Max Fitness: 0.09302088	Mean Fitness: 0.07240229	Min Fitness: 0.06024214	QD Score: 21.35867692
[037500/100000]	Cells: 296  Coverage: 0.11291504%		Max Fitness: 0.09302088	Mean Fitness: 0.07239537	Min Fitness: 0.06024214	QD Score: 21.42902890
[038000/100000]	Cells: 300  Coverage: 0.11444092%		Max Fitness: 0.09494661	Mean Fitness: 0.07242213	Min Fitness: 0.06024214	QD Score: 21.72663820
[038500/100000]	Cells: 302  Coverage: 0.11520386%		Max Fitness: 0.09494661	Mean Fitness: 0.07238763	Min Fitness: 0.06024214	QD Score: 21.86106355
[039000/100000]	Cells: 304  Coverage: 0.11596680%		Max Fitness: 0.09494661	Mean Fitness: 0.07239568	Min Fitness: 0.06024214	QD Score: 22.00828594
[039500/100000]	Cells: 309  Coverage: 0.11787415%		Max Fitness: 0.09494661	Mean Fitness: 0.07238508	Min Fitness: 0.06024214	QD Score: 22.36698871
[040000/100000]	Cells: 315  Coverage: 0.12016296%		Max Fitness: 0.09494661	Mean Fitness: 0.07235115	Min Fitness: 0.06024214	QD Score: 22.79061209
[040500/100000]	Cells: 318  Coverage: 0.12130737%		Max Fitness: 0.09494661	Mean Fitness: 0.07233312	Min Fitness: 0.06024214	QD Score: 23.00193212
[041000/100000]	Cells: 322  Coverage: 0.12283325%		Max Fitness: 0.09772329	Mean Fitness: 0.07238605	Min Fitness: 0.06024214	QD Score: 23.30830920
[041500/100000]	Cells: 324  Coverage: 0.12359619%		Max Fitness: 0.09772329	Mean Fitness: 0.07241980	Min Fitness: 0.06024214	QD Score: 23.46401585
[042000/100000]	Cells: 328  Coverage: 0.12512207%		Max Fitness: 0.09772329	Mean Fitness: 0.07241059	Min Fitness: 0.06024214	QD Score: 23.75067231
[042500/100000]	Cells: 329  Coverage: 0.12550354%		Max Fitness: 0.09772329	Mean Fitness: 0.07241311	Min Fitness: 0.06024214	QD Score: 23.82391315
[043000/100000]	Cells: 330  Coverage: 0.12588501%		Max Fitness: 0.09772329	Mean Fitness: 0.07244060	Min Fitness: 0.06024214	QD Score: 23.90539843
[043500/100000]	Cells: 331  Coverage: 0.12626648%		Max Fitness: 0.09772329	Mean Fitness: 0.07251794	Min Fitness: 0.06024214	QD Score: 24.00343885
[044000/100000]	Cells: 335  Coverage: 0.12779236%		Max Fitness: 0.09772329	Mean Fitness: 0.07246829	Min Fitness: 0.06024214	QD Score: 24.27687834
[044500/100000]	Cells: 337  Coverage: 0.12855530%		Max Fitness: 0.09772329	Mean Fitness: 0.07242830	Min Fitness: 0.06024214	QD Score: 24.40833872
[045000/100000]	Cells: 339  Coverage: 0.12931824%		Max Fitness: 0.09772329	Mean Fitness: 0.07247836	Min Fitness: 0.06024214	QD Score: 24.57016556
[045500/100000]	Cells: 339  Coverage: 0.12931824%		Max Fitness: 0.09772329	Mean Fitness: 0.07251663	Min Fitness: 0.06024214	QD Score: 24.58313612
[046000/100000]	Cells: 345  Coverage: 0.13160706%		Max Fitness: 0.09772329	Mean Fitness: 0.07255386	Min Fitness: 0.06024214	QD Score: 25.03108052
[046500/100000]	Cells: 345  Coverage: 0.13160706%		Max Fitness: 0.09772329	Mean Fitness: 0.07256843	Min Fitness: 0.06024214	QD Score: 25.03610969
[047000/100000]	Cells: 347  Coverage: 0.13237000%		Max Fitness: 0.09772329	Mean Fitness: 0.07260480	Min Fitness: 0.06024214	QD Score: 25.19386511
[047500/100000]	Cells: 351  Coverage: 0.13389587%		Max Fitness: 0.09772329	Mean Fitness: 0.07256883	Min Fitness: 0.06024214	QD Score: 25.47166019
[048000/100000]	Cells: 354  Coverage: 0.13504028%		Max Fitness: 0.09772329	Mean Fitness: 0.07262501	Min Fitness: 0.06024214	QD Score: 25.70925196
[048500/100000]	Cells: 357  Coverage: 0.13618469%		Max Fitness: 0.09772329	Mean Fitness: 0.07268924	Min Fitness: 0.06024214	QD Score: 25.95005832
[049000/100000]	Cells: 363  Coverage: 0.13847351%		Max Fitness: 0.09772329	Mean Fitness: 0.07265918	Min Fitness: 0.06024214	QD Score: 26.37528341
