[046500/100000]	Cells: 404  Coverage: 0.15411377%		Max Fitness: 0.07820486	Mean Fitness: 0.06599227	Min Fitness: 0.05490977	QD Score: 26.66087681
[047000/100000]	Cells: 405  Coverage: 0.15449524%		Max Fitness: 0.07820486	Mean Fitness: 0.06600418	Min Fitness: 0.05490977	QD Score: 26.73169250
[047500/100000]	Cells: 406  Coverage: 0.15487671%		Max Fitness: 0.07820486	Mean Fitness: 0.06603896	Min Fitness: 0.05579782	QD Score: 26.81181778
[048000/100000]	Cells: 407  Coverage: 0.15525818%		Max Fitness: 0.07820486	Mean Fitness: 0.06602586	Min Fitness: 0.05579782	QD Score: 26.87252404
[048500/100000]	Cells: 410  Coverage: 0.15640259%		Max Fitness: 0.07820486	Mean Fitness: 0.06604946	Min Fitness: 0.05579782	QD Score: 27.08027815
[049000/100000]	Cells: 410  Coverage: 0.15640259%		Max Fitness: 0.07820486	Mean Fitness: 0.06605750	Min Fitness: 0.05579782	QD Score: 27.08357486
[049500/100000]	Cells: 410  Coverage: 0.15640259%		Max Fitness: 0.07820486	Mean Fitness: 0.06608326	Min Fitness: 0.05579782	QD Score: 27.09413620
[050000/100000]	Cells: 411  Coverage: 0.15678406%		Max Fitness: 0.07820486	Mean Fitness: 0.06607317	Min Fitness: 0.05579782	QD Score: 27.15607254
[050500/100000]	Cells: 414  Coverage: 0.15792847%		Max Fitness: 0.07820486	Mean Fitness: 0.06611204	Min Fitness: 0.05579782	QD Score: 27.37038587
[051000/100000]	Cells: 421  Coverage: 0.16059875%		Max Fitness: 0.07820486	Mean Fitness: 0.06607934	Min Fitness: 0.05579782	QD Score: 27.81940275
[051500/100000]	Cells: 423  Coverage: 0.16136169%		Max Fitness: 0.07820486	Mean Fitness: 0.06608134	Min Fitness: 0.05579782	QD Score: 27.95240614
[052000/100000]	Cells: 427  Coverage: 0.16288757%		Max Fitness: 0.07820486	Mean Fitness: 0.06605614	Min Fitness: 0.05579782	QD Score: 28.20597327
[052500/100000]	Cells: 432  Coverage: 0.16479492%		Max Fitness: 0.07820486	Mean Fitness: 0.06603550	Min Fitness: 0.05579782	QD Score: 28.52733484
[053000/100000]	Cells: 437  Coverage: 0.16670227%		Max Fitness: 0.07820486	Mean Fitness: 0.06604926	Min Fitness: 0.05579782	QD Score: 28.86352530
[053500/100000]	Cells: 440  Coverage: 0.16784668%		Max Fitness: 0.07820486	Mean Fitness: 0.06604670	Min Fitness: 0.05579782	QD Score: 29.06054812
[054000/100000]	Cells: 443  Coverage: 0.16899109%		Max Fitness: 0.07820486	Mean Fitness: 0.06607040	Min Fitness: 0.05579782	QD Score: 29.26918572
[054500/100000]	Cells: 444  Coverage: 0.16937256%		Max Fitness: 0.07820486	Mean Fitness: 0.06607586	Min Fitness: 0.05579782	QD Score: 29.33768038
[055000/100000]	Cells: 449  Coverage: 0.17127991%		Max Fitness: 0.07820486	Mean Fitness: 0.06605043	Min Fitness: 0.05579782	QD Score: 29.65664460
[055500/100000]	Cells: 450  Coverage: 0.17166138%		Max Fitness: 0.07820486	Mean Fitness: 0.06605426	Min Fitness: 0.05579782	QD Score: 29.72441633
