[036000/100000]	Cells: 312  Coverage: 0.11901855%		Max Fitness: 0.07810047	Mean Fitness: 0.06545641	Min Fitness: 0.05573948	QD Score: 20.42239860
[036500/100000]	Cells: 316  Coverage: 0.12054443%		Max Fitness: 0.07810047	Mean Fitness: 0.06545929	Min Fitness: 0.05573948	QD Score: 20.68513612
[037000/100000]	Cells: 319  Coverage: 0.12168884%		Max Fitness: 0.07810047	Mean Fitness: 0.06544895	Min Fitness: 0.05573948	QD Score: 20.87821433
[037500/100000]	Cells: 324  Coverage: 0.12359619%		Max Fitness: 0.07810047	Mean Fitness: 0.06545515	Min Fitness: 0.05573948	QD Score: 21.20746746
[038000/100000]	Cells: 329  Coverage: 0.12550354%		Max Fitness: 0.07810047	Mean Fitness: 0.06550030	Min Fitness: 0.05573948	QD Score: 21.54959981
[038500/100000]	Cells: 334  Coverage: 0.12741089%		Max Fitness: 0.07810047	Mean Fitness: 0.06549747	Min Fitness: 0.05573948	QD Score: 21.87615451
[039000/100000]	Cells: 336  Coverage: 0.12817383%		Max Fitness: 0.07810047	Mean Fitness: 0.06550042	Min Fitness: 0.05573948	QD Score: 22.00814177
[039500/100000]	Cells: 339  Coverage: 0.12931824%		Max Fitness: 0.07810047	Mean Fitness: 0.06552777	Min Fitness: 0.05573948	QD Score: 22.21391393
[040000/100000]	Cells: 343  Coverage: 0.13084412%		Max Fitness: 0.07810047	Mean Fitness: 0.06557764	Min Fitness: 0.05573948	QD Score: 22.49313222
[040500/100000]	Cells: 344  Coverage: 0.13122559%		Max Fitness: 0.07810047	Mean Fitness: 0.06559813	Min Fitness: 0.05573948	QD Score: 22.56575765
[041000/100000]	Cells: 351  Coverage: 0.13389587%		Max Fitness: 0.07810047	Mean Fitness: 0.06561449	Min Fitness: 0.05573948	QD Score: 23.03068769
[041500/100000]	Cells: 355  Coverage: 0.13542175%		Max Fitness: 0.07810047	Mean Fitness: 0.06557669	Min Fitness: 0.05573948	QD Score: 23.27972334
[042000/100000]	Cells: 358  Coverage: 0.13656616%		Max Fitness: 0.07810047	Mean Fitness: 0.06556047	Min Fitness: 0.05573948	QD Score: 23.47064712
[042500/100000]	Cells: 363  Coverage: 0.13847351%		Max Fitness: 0.07810047	Mean Fitness: 0.06553808	Min Fitness: 0.05573948	QD Score: 23.79032354
[043000/100000]	Cells: 364  Coverage: 0.13885498%		Max Fitness: 0.07810047	Mean Fitness: 0.06554009	Min Fitness: 0.05573948	QD Score: 23.85659227
[043500/100000]	Cells: 366  Coverage: 0.13961792%		Max Fitness: 0.07810047	Mean Fitness: 0.06554401	Min Fitness: 0.05573948	QD Score: 23.98910612
[044000/100000]	Cells: 370  Coverage: 0.14114380%		Max Fitness: 0.07810047	Mean Fitness: 0.06553225	Min Fitness: 0.05573948	QD Score: 24.24693248
[044500/100000]	Cells: 375  Coverage: 0.14305115%		Max Fitness: 0.07810047	Mean Fitness: 0.06550387	Min Fitness: 0.05573948	QD Score: 24.56394976
[045000/100000]	Cells: 378  Coverage: 0.14419556%		Max Fitness: 0.07810047	Mean Fitness: 0.06549897	Min Fitness: 0.05573948	QD Score: 24.75861133
[045500/100000]	Cells: 378  Coverage: 0.14419556%		Max Fitness: 0.07810047	Mean Fitness: 0.06553073	Min Fitness: 0.05573948	QD Score: 24.77061617
[046000/100000]	Cells: 380  Coverage: 0.14495850%		Max Fitness: 0.07810047	Mean Fitness: 0.06553750	Min Fitness: 0.05573948	QD Score: 24.90424846
[046500/100000]	Cells: 381  Coverage: 0.14533997%		Max Fitness: 0.07810047	Mean Fitness: 0.06557821	Min Fitness: 0.05573948	QD Score: 24.98529868
[047000/100000]	Cells: 387  Coverage: 0.14762878%		Max Fitness: 0.07810047	Mean Fitness: 0.06557457	Min Fitness: 0.05573948	QD Score: 25.37735985
