[000500/100000]	Cells: 0  Coverage: 0.00000000%		Max Fitness: -Infinity	Mean Fitness: NaN	Min Fitness: Infinity	QD Score: 0.00000000
[042500/100000]	Cells: 86  Coverage: 0.03280640%		Max Fitness: 0.07028261	Mean Fitness: 0.05864559	Min Fitness: 0.04848249	QD Score: 5.04352102
[043000/100000]	Cells: 88  Coverage: 0.03356934%		Max Fitness: 0.07028261	Mean Fitness: 0.05857502	Min Fitness: 0.04848249	QD Score: 5.15460215
[043500/100000]	Cells: 89  Coverage: 0.03395081%		Max Fitness: 0.07028261	Mean Fitness: 0.05851527	Min Fitness: 0.04848249	QD Score: 5.20785937
[044000/100000]	Cells: 89  Coverage: 0.03395081%		Max Fitness: 0.07028261	Mean Fitness: 0.05854478	Min Fitness: 0.04957281	QD Score: 5.21048568
[044500/100000]	Cells: 91  Coverage: 0.03471375%		Max Fitness: 0.07028261	Mean Fitness: 0.05852863	Min Fitness: 0.04957281	QD Score: 5.32610529
[045000/100000]	Cells: 91  Coverage: 0.03471375%		Max Fitness: 0.07028261	Mean Fitness: 0.05853561	Min Fitness: 0.04957281	QD Score: 5.32674025
[045500/100000]	Cells: 91  Coverage: 0.03471375%		Max Fitness: 0.07028261	Mean Fitness: 0.05853710	Min Fitness: 0.04957281	QD Score: 5.32687590
[046000/100000]	Cells: 91  Coverage: 0.03471375%		Max Fitness: 0.07028261	Mean Fitness: 0.05853710	Min Fitness: 0.04957281	QD Score: 5.32687590
[046500/100000]	Cells: 91  Coverage: 0.03471375%		Max Fitness: 0.07028261	Mean Fitness: 0.05854074	Min Fitness: 0.04957281	QD Score: 5.32720762
[047000/100000]	Cells: 93  Coverage: 0.03547668%		Max Fitness: 0.07028261	Mean Fitness: 0.05839170	Min Fitness: 0.04957281	QD Score: 5.43042781
[047500/100000]	Cells: 94  Coverage: 0.03585815%		Max Fitness: 0.07028261	Mean Fitness: 0.05844820	Min Fitness: 0.04957281	QD Score: 5.49413056
[048000/100000]	Cells: 95  Coverage: 0.03623962%		Max Fitness: 0.07028261	Mean Fitness: 0.05838254	Min Fitness: 0.04957281	QD Score: 5.54634109
[048500/100000]	Cells: 95  Coverage: 0.03623962%		Max Fitness: 0.07028261	Mean Fitness: 0.05838254	Min Fitness: 0.04957281	QD Score: 5.54634109
[049000/100000]	Cells: 95  Coverage: 0.03623962%		Max Fitness: 0.07028261	Mean Fitness: 0.05839733	Min Fitness: 0.04957281	QD Score: 5.54774636
[049500/100000]	Cells: 95  Coverage: 0.03623962%		Max Fitness: 0.07028261	Mean Fitness: 0.05839733	Min Fitness: 0.04957281	QD Score: 5.54774636
[050000/100000]	Cells: 95  Coverage: 0.03623962%		Max Fitness: 0.07028261	Mean Fitness: 0.05839733	Min Fitness: 0.04957281	QD Score: 5.54774636
[050500/100000]	Cells: 95  Coverage: 0.03623962%		Max Fitness: 0.07028261	Mean Fitness: 0.05850046	Min Fitness: 0.04957281	QD Score: 5.55754375
[051000/100000]	Cells: 96  Coverage: 0.03662109%		Max Fitness: 0.07028261	Mean Fitness: 0.05841310	Min Fitness: 0.04957281	QD Score: 5.60765778
[051500/100000]	Cells: 96  Coverage: 0.03662109%		Max Fitness: 0.07028261	Mean Fitness: 0.05848719	Min Fitness: 0.04957281	QD Score: 5.61477037
[052000/100000]	Cells: 97  Coverage: 0.03700256%		Max Fitness: 0.07028261	Mean Fitness: 0.05859576	Min Fitness: 0.04957281	QD Score: 5.68378893
[052500/100000]	Cells: 99  Coverage: 0.03776550%		Max Fitness: 0.07028261	Mean Fitness: 0.05870321	Min Fitness: 0.04957281	QD Score: 5.81161807
[053000/100000]	Cells: 99  Coverage: 0.03776550%		Max Fitness: 0.07028261	Mean Fitness: 0.05877094	Min Fitness: 0.04957281	QD Score: 5.81832335
[053500/100000]	Cells: 100  Coverage: 0.03814697%		Max Fitness: 0.07028261	Mean Fitness: 0.05892435	Min Fitness: 0.04957281	QD Score: 5.89243450
[054000/100000]	Cells: 100  Coverage: 0.03814697%		Max Fitness: 0.07028261	Mean Fitness: 0.05892435	Min Fitness: 0.04957281	QD Score: 5.89243450
[054500/100000]	Cells: 101  Coverage: 0.03852844%		Max Fitness: 0.07028261	Mean Fitness: 0.05899827	Min Fitness: 0.04957281	QD Score: 5.95882509
[055000/100000]	Cells: 103  Coverage: 0.03929138%		Max Fitness: 0.07028261	Mean Fitness: 0.05900732	Min Fitness: 0.04957281	QD Score: 6.07775367
[055500/100000]	Cells: 103  Coverage: 0.03929138%		Max Fitness: 0.07028261	Mean Fitness: 0.05900732	Min Fitness: 0.04957281	QD Score: 6.07775367
[056000/100000]	Cells: 104  Coverage: 0.03967285%		Max Fitness: 0.07028261	Mean Fitness: 0.05898058	Min Fitness: 0.04957281	QD Score: 6.13398001
[056500/100000]	Cells: 105  Coverage: 0.04005432%		Max Fitness: 0.07028261	Mean Fitness: 0.05890012	Min Fitness: 0.04957281	QD Score: 6.18451310
[057000/100000]	Cells: 105  Coverage: 0.04005432%		Max Fitness: 0.07028261	Mean Fitness: 0.05890012	Min Fitness: 0.04957281	QD Score: 6.18451310
[057500/100000]	Cells: 106  Coverage: 0.04043579%		Max Fitness: 0.07028261	Mean Fitness: 0.05881867	Min Fitness: 0.04957281	QD Score: 6.23477863
[058000/100000]	Cells: 107  Coverage: 0.04081726%		Max Fitness: 0.07028261	Mean Fitness: 0.05875118	Min Fitness: 0.04957281	QD Score: 6.28637640
[058500/100000]	Cells: 107  Coverage: 0.04081726%		Max Fitness: 0.07028261	Mean Fitness: 0.05875118	Min Fitness: 0.04957281	QD Score: 6.28637640
[059000/100000]	Cells: 108  Coverage: 0.04119873%		Max Fitness: 0.07028261	Mean Fitness: 0.05869296	Min Fitness: 0.04957281	QD Score: 6.33883978
[059500/100000]	Cells: 108  Coverage: 0.04119873%		Max Fitness: 0.07028261	Mean Fitness: 0.05869296	Min Fitness: 0.04957281	QD Score: 6.33883978
[060000/100000]	Cells: 108  Coverage: 0.04119873%		Max Fitness: 0.07028261	Mean Fitness: 0.05869296	Min Fitness: 0.04957281	QD Score: 6.33883978
[060500/100000]	Cells: 109  Coverage: 0.04158020%		Max Fitness: 0.07028261	Mean Fitness: 0.05863141	Min Fitness: 0.04957281	QD Score: 6.39082393
[061000/100000]	Cells: 109  Coverage: 0.04158020%		Max Fitness: 0.07028261	Mean Fitness: 0.05863141	Min Fitness: 0.04957281	QD Score: 6.39082393
[061500/100000]	Cells: 109  Coverage: 0.04158020%		Max Fitness: 0.07028261	Mean Fitness: 0.05863141	Min Fitness: 0.04957281	QD Score: 6.39082393
[062000/100000]	Cells: 110  Coverage: 0.04196167%		Max Fitness: 0.07028261	Mean Fitness: 0.05869522	Min Fitness: 0.04957281	QD Score: 6.45647465
[062500/100000]	Cells: 110  Coverage: 0.04196167%		Max Fitness: 0.07028261	Mean Fitness: 0.05869522	Min Fitness: 0.04957281	QD Score: 6.45647465
[063000/100000]	Cells: 112  Coverage: 0.04272461%		Max Fitness: 0.07028261	Mean Fitness: 0.05864997	Min Fitness: 0.04957281	QD Score: 6.56879613
[063500/100000]	Cells: 114  Coverage: 0.04348755%		Max Fitness: 0.07028261	Mean Fitness: 0.05853467	Min Fitness: 0.04957281	QD Score: 6.67295195
[064000/100000]	Cells: 114  Coverage: 0.04348755%		Max Fitness: 0.07028261	Mean Fitness: 0.05853467	Min Fitness: 0.04957281	QD Score: 6.67295195
[064500/100000]	Cells: 115  Coverage: 0.04386902%		Max Fitness: 0.07028261	Mean Fitness: 0.05852233	Min Fitness: 0.04957281	QD Score: 6.73006794
[065000/100000]	Cells: 116  Coverage: 0.04425049%		Max Fitness: 0.07028261	Mean Fitness: 0.05861503	Min Fitness: 0.04957281	QD Score: 6.79934310
[065500/100000]	Cells: 117  Coverage: 0.04463196%		Max Fitness: 0.07028261	Mean Fitness: 0.05858065	Min Fitness: 0.04957281	QD Score: 6.85393654
[066000/100000]	Cells: 118  Coverage: 0.04501343%		Max Fitness: 0.07028261	Mean Fitness: 0.05864620	Min Fitness: 0.04957281	QD Score: 6.92025196
[066500/100000]	Cells: 118  Coverage: 0.04501343%		Max Fitness: 0.07028261	Mean Fitness: 0.05866040	Min Fitness: 0.04957281	QD Score: 6.92192761
[067000/100000]	Cells: 119  Coverage: 0.04539490%		Max Fitness: 0.07028261	Mean Fitness: 0.05862528	Min Fitness: 0.04957281	QD Score: 6.97640877
[067500/100000]	Cells: 120  Coverage: 0.04577637%		Max Fitness: 0.07028261	Mean Fitness: 0.05865615	Min Fitness: 0.04957281	QD Score: 7.03873825
[068000/100000]	Cells: 120  Coverage: 0.04577637%		Max Fitness: 0.07028261	Mean Fitness: 0.05865615	Min Fitness: 0.04957281	QD Score: 7.03873825
[068500/100000]	Cells: 120  Coverage: 0.04577637%		Max Fitness: 0.07028261	Mean Fitness: 0.05865615	Min Fitness: 0.04957281	QD Score: 7.03873825
[069000/100000]	Cells: 120  Coverage: 0.04577637%		Max Fitness: 0.07028261	Mean Fitness: 0.05865615	Min Fitness: 0.04957281	QD Score: 7.03873825
[069500/100000]	Cells: 121  Coverage: 0.04615784%		Max Fitness: 0.07028261	Mean Fitness: 0.05873750	Min Fitness: 0.04957281	QD Score: 7.10723748
[070000/100000]	Cells: 121  Coverage: 0.04615784%		Max Fitness: 0.07028261	Mean Fitness: 0.05873750	Min Fitness: 0.04957281	QD Score: 7.10723748
[070500/100000]	Cells: 122  Coverage: 0.04653931%		Max Fitness: 0.07028261	Mean Fitness: 0.05866883	Min Fitness: 0.04957281	QD Score: 7.15759718
[071000/100000]	Cells: 123  Coverage: 0.04692078%		Max Fitness: 0.07028261	Mean Fitness: 0.05860571	Min Fitness: 0.04957281	QD Score: 7.20850184
[071500/100000]	Cells: 123  Coverage: 0.04692078%		Max Fitness: 0.07028261	Mean Fitness: 0.05860571	Min Fitness: 0.04957281	QD Score: 7.20850184
[072000/100000]	Cells: 123  Coverage: 0.04692078%		Max Fitness: 0.07089205	Mean Fitness: 0.05866866	Min Fitness: 0.04957281	QD Score: 7.21624579
[072500/100000]	Cells: 125  Coverage: 0.04768372%		Max Fitness: 0.07089205	Mean Fitness: 0.05873089	Min Fitness: 0.04957281	QD Score: 7.34136162
[073000/100000]	Cells: 125  Coverage: 0.04768372%		Max Fitness: 0.07089205	Mean Fitness: 0.05873474	Min Fitness: 0.04957281	QD Score: 7.34184206
[073500/100000]	Cells: 125  Coverage: 0.04768372%		Max Fitness: 0.07089205	Mean Fitness: 0.05873474	Min Fitness: 0.04957281	QD Score: 7.34184206
[074000/100000]	Cells: 125  Coverage: 0.04768372%		Max Fitness: 0.07089205	Mean Fitness: 0.05881104	Min Fitness: 0.04957281	QD Score: 7.35137991
[074500/100000]	Cells: 125  Coverage: 0.04768372%		Max Fitness: 0.07089205	Mean Fitness: 0.05881104	Min Fitness: 0.04957281	QD Score: 7.35137991
[075000/100000]	Cells: 125  Coverage: 0.04768372%		Max Fitness: 0.07089205	Mean Fitness: 0.05881104	Min Fitness: 0.04957281	QD Score: 7.35137991
[075500/100000]	Cells: 126  Coverage: 0.04806519%		Max Fitness: 0.07089205	Mean Fitness: 0.05875323	Min Fitness: 0.04957281	QD Score: 7.40290721
[076000/100000]	Cells: 126  Coverage: 0.04806519%		Max Fitness: 0.07089205	Mean Fitness: 0.05875383	Min Fitness: 0.04957281	QD Score: 7.40298289
[076500/100000]	Cells: 126  Coverage: 0.04806519%		Max Fitness: 0.07089205	Mean Fitness: 0.05875383	Min Fitness: 0.04957281	QD Score: 7.40298289
[077000/100000]	Cells: 128  Coverage: 0.04882813%		Max Fitness: 0.07114242	Mean Fitness: 0.05881259	Min Fitness: 0.04957281	QD Score: 7.52801200
[077500/100000]	Cells: 128  Coverage: 0.04882813%		Max Fitness: 0.07114242	Mean Fitness: 0.05881491	Min Fitness: 0.04957281	QD Score: 7.52830831
[078000/100000]	Cells: 128  Coverage: 0.04882813%		Max Fitness: 0.07114242	Mean Fitness: 0.05885084	Min Fitness: 0.04957281	QD Score: 7.53290727
[078500/100000]	Cells: 128  Coverage: 0.04882813%		Max Fitness: 0.07114242	Mean Fitness: 0.05885084	Min Fitness: 0.04957281	QD Score: 7.53290727
[079000/100000]	Cells: 129  Coverage: 0.04920959%		Max Fitness: 0.07114242	Mean Fitness: 0.05878356	Min Fitness: 0.04957281	QD Score: 7.58307915
[079500/100000]	Cells: 129  Coverage: 0.04920959%		Max Fitness: 0.07114242	Mean Fitness: 0.05878356	Min Fitness: 0.04957281	QD Score: 7.58307915
[080000/100000]	Cells: 129  Coverage: 0.04920959%		Max Fitness: 0.07114242	Mean Fitness: 0.05889300	Min Fitness: 0.04957281	QD Score: 7.59719658
[080500/100000]	Cells: 129  Coverage: 0.04920959%		Max Fitness: 0.07114242	Mean Fitness: 0.05896133	Min Fitness: 0.04957281	QD Score: 7.60601149
[081000/100000]	Cells: 129  Coverage: 0.04920959%		Max Fitness: 0.07114242	Mean Fitness: 0.05901749	Min Fitness: 0.04957281	QD Score: 7.61325668
[081500/100000]	Cells: 130  Coverage: 0.04959106%		Max Fitness: 0.07114242	Mean Fitness: 0.05907503	Min Fitness: 0.04957281	QD Score: 7.67975353
